Mujeres;C�ceres;2013;205206
Hombres;C�ceres;2014;203763
Mujeres;C�ceres;2014;204012
Hombres;C�ceres;2015;202564
Mujeres;C�ceres;2015;202967
Hombres;C�ceres;2016;201012
Mujeres;C�ceres;2016;201385
Hombres;C�ceres;2017;199259
Mujeres;C�ceres;2017;199774
Hombres;C�ceres;2018;197465
Mujeres;C�ceres;2018;198063
Hombres;C�ceres;2019;196133
Mujeres;C�ceres;2019;196797
Hombres;C�ceres;2020;195122
Mujeres;C�ceres;2020;195864
Hombres;C�diz;2011;617114
Mujeres;C�diz;2011;621809
Hombres;C�diz;2012;620463
Mujeres;C�diz;2012;624899
Hombres;C�diz;2013;621167
Mujeres;C�diz;2013;626411
Hombres;C�diz;2014;620872
Mujeres;C�diz;2014;626680
Hombres;C�diz;2015;621089
Mujeres;C�diz;2015;627495
Hombres;C�diz;2016;620722
Mujeres;C�diz;2016;627519
Hombres;C�diz;2017;620717
Mujeres;C�diz;2017;628241
Hombres;C�diz;2018;620415
Mujeres;C�diz;2018;628830
Hombres;C�diz;2019;620327
Mujeres;C�diz;2019;629412
Hombres;C�diz;2020;622502
Mujeres;C�diz;2020;632126
Hombres;C�rdoba;2011;393972
Mujeres;C�rdoba;2011;407820
Hombres;C�rdoba;2012;394505
Mujeres;C�rdoba;2012;408212
Hombres;C�rdoba;2013;393273
Mujeres;C�rdoba;2013;407140
Hombres;C�rdoba;2014;391933
Mujeres;C�rdoba;2014;405837
Hombres;C�rdoba;2015;390844
Mujeres;C�rdoba;2015;404860
Hombres;C�rdoba;2016;389187
Mujeres;C�rdoba;2016;403225
Hombres;C�rdoba;2017;387966
Mujeres;C�rdoba;2017;402015
Hombres;C�rdoba;2018;386210
Mujeres;C�rdoba;2018;400314
Hombres;C�rdoba;2019;384587
Mujeres;C�rdoba;2019;399280
Hombres;C�rdoba;2020;384574
Mujeres;C�rdoba;2020;399682
Hombres;Gipuzkoa;2011;346883
Mujeres;Gipuzkoa;2011;360375
Hombres;Gipuzkoa;2012;346871
Mujeres;Gipuzkoa;2012;361550
Hombres;Gipuzkoa;2013;346232
Mujeres;Gipuzkoa;2013;361975
Hombres;Gipuzkoa;2014;345072
Mujeres;Gipuzkoa;2014;361914
Hombres;Gipuzkoa;2015;344922
Mujeres;Gipuzkoa;2015;362395
Hombres;Gipuzkoa;2016;344813
Mujeres;Gipuzkoa;2016;363079
Hombres;Gipuzkoa;2017;344838
Mujeres;Gipuzkoa;2017;364141
Hombres;Gipuzkoa;2018;345254
Mujeres;Gipuzkoa;2018;365027
Hombres;Gipuzkoa;2019;346637
Mujeres;Gipuzkoa;2019;366370
Hombres;Gipuzkoa;2020;348250
Mujeres;Gipuzkoa;2020;368280
Hombres;Girona;2011;377460
Mujeres;Girona;2011;369576
Hombres;Girona;2012;378879
Mujeres;Girona;2012;372721
Hombres;Girona;2013;376416
Mujeres;Girona;2013;372775
Hombres;Girona;2014;372332
Mujeres;Girona;2014;370792
Hombres;Girona;2015;370122
Mujeres;Girona;2015;370250
Hombres;Girona;2016;370201
Mujeres;Girona;2016;371407
Hombres;Girona;2017;371571
Mujeres;Girona;2017;373673
Hombres;Girona;2018;373371
Mujeres;Girona;2018;376285
Hombres;Girona;2019;377123
Mujeres;Girona;2019;380374
Hombres;Girona;2020;382025
Mujeres;Girona;2020;385094
Hombres;Granada;2011;456366
Mujeres;Granada;2011;463518
Hombres;Granada;2012;458053
Mujeres;Granada;2012;464408
Hombres;Granada;2013;457787
Mujeres;Granada;2013;464350
Hombres;Granada;2014;456567
Mujeres;Granada;2014;463917
Hombres;Granada;2015;455501
Mujeres;Granada;2015;463638
Hombres;Granada;2016;454723
Mujeres;Granada;2016;462771
Hombres;Granada;2017;454440
Mujeres;Granada;2017;462599
Hombres;Granada;2018;454431
Mujeres;Granada;2018;463014
Hombres;Granada;2019;455290
Mujeres;Granada;2019;464410
Hombres;Granada;2020;457686
Mujeres;Granada;2020;467373
Hombres;Guadalajara;2011;130678
Mujeres;Guadalajara;2011;123978
Hombres;Guadalajara;2012;132200
Mujeres;Guadalajara;2012;125531
Hombres;Guadalajara;2013;131548
Mujeres;Guadalajara;2013;125552
Hombres;Guadalajara;2014;130218
Mujeres;Guadalajara;2014;125021
Hombres;Guadalajara;2015;129641
Mujeres;Guadalajara;2015;124917
Hombres;Guadalajara;2016;129294
Mujeres;Guadalajara;2016;124986
Hombres;Guadalajara;2017;129659
Mujeres;Guadalajara;2017;125673
Hombres;Guadalajara;2018;129976
Mujeres;Guadalajara;2018;126053
Hombres;Guadalajara;2019;131365
Mujeres;Guadalajara;2019;127525
Hombres;Guadalajara;2020;133207
Mujeres;Guadalajara;2020;129197
Hombres;Huelva;2011;257222
Mujeres;Huelva;2011;260668
Hombres;Huelva;2012;257850
Mujeres;Huelva;2012;262130
Hombres;Huelva;2013;258390
Mujeres;Huelva;2013;262558
Hombres;Huelva;2014;258389
Mujeres;Huelva;2014;263039
Hombres;Huelva;2015;258545
Mujeres;Huelva;2015;263591
Hombres;Huelva;2016;258263
Mujeres;Huelva;2016;263386
Hombres;Huelva;2017;258028
Mujeres;Huelva;2017;263082
Hombres;Huelva;2018;258233
Mujeres;Huelva;2018;264250
Hombres;Huelva;2019;258887
Mujeres;Huelva;2019;265689
Hombres;Huelva;2020;260177
Mujeres;Huelva;2020;267882
Hombres;Huesca;2011;115394
Mujeres;Huesca;2011;111202
Hombres;Huesca;2012;114693
Mujeres;Huesca;2012;111128
Hombres;Huesca;2013;114046
Mujeres;Huesca;2013;110642
Hombres;Huesca;2014;113182
Mujeres;Huesca;2014;110176
Hombres;Huesca;2015;112377
Mujeres;Huesca;2015;109707
Hombres;Huesca;2016;111516
Mujeres;Huesca;2016;109072
Hombres;Huesca;2017;111012
Mujeres;Huesca;2017;108658
Hombres;Huesca;2018;110661
Mujeres;Huesca;2018;108513
Hombres;Huesca;2019;110627
Mujeres;Huesca;2019;108612
Hombres;Huesca;2020;111430
Mujeres;Huesca;2020;109227
Hombres;Ja�n;2011;332956
Mujeres;Ja�n;2011;334104
Hombres;Ja�n;2012;333760
Mujeres;Ja�n;2012;333500
Hombres;Ja�n;2013;329913
Mujeres;Ja�n;2013;331803
Hombres;Ja�n;2014;326158
Mujeres;Ja�n;2014;329973
Hombres;Ja�n;2015;324051
Mujeres;Ja�n;2015;328081
Hombres;Ja�n;2016;321155
Mujeres;Ja�n;2016;325345
Hombres;Ja�n;2017;318789
Mujeres;Ja�n;2017;323027
Hombres;Ja�n;2018;315935
Mujeres;Ja�n;2018;320651
Hombres;Ja�n;2019;313586
Mujeres;Ja�n;2019;318441
Hombres;Ja�n;2020;312023
Mujeres;Ja�n;2020;316818
Hombres;Le�n;2011;241709
Mujeres;Le�n;2011;252501
Hombres;Le�n;2012;241096
Mujeres;Le�n;2012;251727
Hombres;Le�n;2013;239125
Mujeres;Le�n;2013;250113
Hombres;Le�n;2014;236768
Mujeres;Le�n;2014;247764
Hombres;Le�n;2015;234533
Mujeres;Le�n;2015;245798
Hombres;Le�n;2016;231782
Mujeres;Le�n;2016;243114
Hombres;Le�n;2017;229440
Mujeres;Le�n;2017;240886
Hombres;Le�n;2018;227182
Mujeres;Le�n;2018;238926
Hombres;Le�n;2019;225326
Mujeres;Le�n;2019;237169
Hombres;Le�n;2020;223586
Mujeres;Le�n;2020;235555
Hombres;Lleida;2011;222425
Mujeres;Lleida;2011;214264
Hombres;Lleida;2012;223077
Mujeres;Lleida;2012;215135
Hombres;Lleida;2013;221301
Mujeres;Lleida;2013;214546
Hombres;Lleida;2014;218835
Mujeres;Lleida;2014;213334
Hombres;Lleida;2015;217796
Mujeres;Lleida;2015;212864
Hombres;Lleida;2016;217180
Mujeres;Lleida;2016;211928
Hombres;Lleida;2017;216996
Mujeres;Lleida;2017;211897
Hombres;Lleida;2018;217166
Mujeres;Lleida;2018;212046
Hombres;Lleida;2019;218328
Mujeres;Lleida;2019;212855
Hombres;Lleida;2020;221040
Mujeres;Lleida;2020;214567
Hombres;Lugo;2011;170058
Mujeres;Lugo;2011;179467
Hombres;Lugo;2012;169176
Mujeres;Lugo;2012;178452
Hombres;Lugo;2013;167629
Mujeres;Lugo;2013;177217
Hombres;Lugo;2014;166048
Mujeres;Lugo;2014;175774
Hombres;Lugo;2015;164645
Mujeres;Lugo;2015;174275
Hombres;Lugo;2016;163297
Mujeres;Lugo;2016;172839
Hombres;Lugo;2017;162070
Mujeres;Lugo;2017;171523
Hombres;Lugo;2018;161033
Mujeres;Lugo;2018;170459
Hombres;Lugo;2019;160005
Mujeres;Lugo;2019;169582
Hombres;Lugo;2020;159287
Mujeres;Lugo;2020;168866
Hombres;Madrid;2011;3087772
Mujeres;Madrid;2011;3306467
Hombres;Madrid;2012;3097459
Mujeres;Madrid;2012;3328114
Hombres;Madrid;2013;3086686
Mujeres;Madrid;2013;3328023
Hombres;Madrid;2014;3065576
Mujeres;Madrid;2014;3312721
Hombres;Madrid;2015;3066776
Mujeres;Madrid;2015;3318521
Hombres;Madrid;2016;3084747
Mujeres;Madrid;2016;3339528
Hombres;Madrid;2017;3108811
Mujeres;Madrid;2017;3367894
Hombres;Madrid;2018;3142021
Mujeres;Madrid;2018;3407498
Hombres;Madrid;2019;3184373
Mujeres;Madrid;2019;3457275
Hombres;Madrid;2020;3234075
Mujeres;Madrid;2020;3513350
Hombres;Melilla;2011;40601
Mujeres;Melilla;2011;38261
Hombres;Melilla;2012;42310
Mujeres;Melilla;2012;39476
Hombres;Melilla;2013;43113
Mujeres;Melilla;2013;40506
Hombres;Melilla;2014;42864
Mujeres;Melilla;2014;41006
Hombres;Melilla;2015;43142
Mujeres;Melilla;2015;41428
Hombres;Melilla;2016;43108
Mujeres;Melilla;2016;41656
Hombres;Melilla;2017;43079
Mujeres;Melilla;2017;41865
Hombres;Melilla;2018;42807
Mujeres;Melilla;2018;41901
Hombres;Melilla;2019;42793
Mujeres;Melilla;2019;41896
Hombres;Melilla;2020;42500
Mujeres;Melilla;2020;41996
Hombres;Murcia;2011;737295
Mujeres;Murcia;2011;721782
Hombres;Murcia;2012;737239
Mujeres;Murcia;2012;724690
Hombres;Murcia;2013;735550
Mujeres;Murcia;2013;726437
Hombres;Murcia;2014;734055
Mujeres;Murcia;2014;727749
Hombres;Murcia;2015;734269
Mujeres;Murcia;2015;729505
Hombres;Murcia;2016;735108
Mujeres;Murcia;2016;731366
Hombres;Murcia;2017;737984
Mujeres;Murcia;2017;734993
Hombres;Murcia;2018;738645
Mujeres;Murcia;2018;736924
Hombres;Murcia;2019;744145
Mujeres;Murcia;2019;743519
Hombres;Murcia;2020;752689
Mujeres;Murcia;2020;751919
Hombres;M�laga;2011;780751
Mujeres;M�laga;2011;800593
Hombres;M�laga;2012;789052
Mujeres;M�laga;2012;809085
Hombres;M�laga;2013;795377
Mujeres;M�laga;2013;816606
Hombres;M�laga;2014;798860
Mujeres;M�laga;2014;820853
Hombres;M�laga;2015;804149
Mujeres;M�laga;2015;827209
Hombres;M�laga;2016;808326
Mujeres;M�laga;2016;832246
Hombres;M�laga;2017;810480
Mujeres;M�laga;2017;836233
Hombres;M�laga;2018;812010
Mujeres;M�laga;2018;839496
Hombres;M�laga;2019;816029
Mujeres;M�laga;2019;844956
Hombres;M�laga;2020;826506
Mujeres;M�laga;2020;856765
Hombres;Navarra;2011;318116
Mujeres;Navarra;2011;318983
Hombres;Navarra;2012;319090
Mujeres;Navarra;2012;320933
Hombres;Navarra;2013;317845
Mujeres;Navarra;2013;321104
Hombres;Navarra;2014;315935
Mujeres;Navarra;2014;320515
Hombres;Navarra;2015;315570
Mujeres;Navarra;2015;320832
Hombres;Navarra;2016;315938
Mujeres;Navarra;2016;321547
Hombres;Navarra;2017;316990
Mujeres;Navarra;2017;323346
Hombres;Navarra;2018;318305
Mujeres;Navarra;2018;325562
Hombres;Navarra;2019;321064
Mujeres;Navarra;2019;328882
Hombres;Navarra;2020;324401
Mujeres;Navarra;2020;332086
Hombres;Ourense;2011;159302
Mujeres;Ourense;2011;170717
Hombres;Ourense;2012;158517
Mujeres;Ourense;2012;169670
Hombres;Ourense;2013;157223
Mujeres;Ourense;2013;168166
Hombres;Ourense;2014;155401
Mujeres;Ourense;2014;166400
Hombres;Ourense;2015;153836
Mujeres;Ourense;2015;164903
Hombres;Ourense;2016;151777
Mujeres;Ourense;2016;162886
Hombres;Ourense;2017;150326
Mujeres;Ourense;2017;161236
Hombres;Ourense;2018;149171
Mujeres;Ourense;2018;160143
Hombres;Ourense;2019;148315
Mujeres;Ourense;2019;159526
Hombres;Ourense;2020;147771
Mujeres;Ourense;2020;159032
Hombres;Palencia;2011;84933
Mujeres;Palencia;2011;86372
Hombres;Palencia;2012;84416
Mujeres;Palencia;2012;85885
Hombres;Palencia;2013;83608
Mujeres;Palencia;2013;85141
Hombres;Palencia;2014;82849
Mujeres;Palencia;2014;84452
Hombres;Palencia;2015;82115
Mujeres;Palencia;2015;83691
Hombres;Palencia;2016;81447
Mujeres;Palencia;2016;82801
Hombres;Palencia;2017;80784
Mujeres;Palencia;2017;82223
Hombres;Palencia;2018;80240
Mujeres;Palencia;2018;81554
Hombres;Palencia;2019;79662
Mujeres;Palencia;2019;81039
Hombres;Palencia;2020;79220
Mujeres;Palencia;2020;80627
Hombres;Palmas, Las;2011;540825
Mujeres;Palmas, Las;2011;536262
Hombres;Palmas, Las;2012;546215
Mujeres;Palmas, Las;2012;542836
Hombres;Palmas, Las;2013;550174
Mujeres;Palmas, Las;2013;548062
Hombres;Palmas, Las;2014;550595
Mujeres;Palmas, Las;2014;550119
Hombres;Palmas, Las;2015;552997
Mujeres;Palmas, Las;2015;553239
Hombres;Palmas, Las;2016;554726
Mujeres;Palmas, Las;2016;556158
Hombres;Palmas, Las;2017;558346
Mujeres;Palmas, Las;2017;560804
Hombres;Palmas, Las;2018;561558
Mujeres;Palmas, Las;2018;565338
Hombres;Palmas, Las;2019;567359
Mujeres;Palmas, Las;2019;572024
Hombres;Palmas, Las;2020;572762
Mujeres;Palmas, Las;2020;578589
Hombres;Pontevedra;2011;462901
Mujeres;Pontevedra;2011;490902
Hombres;Pontevedra;2012;463897
Mujeres;Pontevedra;2012;491025
Hombres;Pontevedra;2013;463081
Mujeres;Pontevedra;2013;490160
Hombres;Pontevedra;2014;461581
Mujeres;Pontevedra;2014;488692
Hombres;Pontevedra;2015;460510
Mujeres;Pontevedra;2015;487792
Hombres;Pontevedra;2016;459032
Mujeres;Pontevedra;2016;486156
Hombres;Pontevedra;2017;457996
Mujeres;Pontevedra;2017;485232
Hombres;Pontevedra;2018;456493
Mujeres;Pontevedra;2018;484433
Hombres;Pontevedra;2019;456379
Mujeres;Pontevedra;2019;484628
Hombres;Pontevedra;2020;457535
Mujeres;Pontevedra;2020;486274
Hombres;Rioja, La;2011;160694
Mujeres;Rioja, La;2011;160156
Hombres;Rioja, La;2012;160318
Mujeres;Rioja, La;2012;160633
Hombres;Rioja, La;2013;158540
Mujeres;Rioja, La;2013;160099
Hombres;Rioja, La;2014;156245
Mujeres;Rioja, La;2014;158979
Hombres;Rioja, La;2015;155021
Mujeres;Rioja, La;2015;158548
Hombres;Rioja, La;2016;154516
Mujeres;Rioja, La;2016;158294
Hombres;Rioja, La;2017;154288
Mujeres;Rioja, La;2017;158330
Hombres;Rioja, La;2018;154409
Mujeres;Rioja, La;2018;158475
Hombres;Rioja, La;2019;154512
Mujeres;Rioja, La;2019;159059
Hombres;Rioja, La;2020;155656
Mujeres;Rioja, La;2020;160270
Hombres;Salamanca;2011;171696
Mujeres;Salamanca;2011;179123
Hombres;Salamanca;2012;171226
Mujeres;Salamanca;2012;178399
Hombres;Salamanca;2013;170004
Mujeres;Salamanca;2013;177245
Hombres;Salamanca;2014;168350
Mujeres;Salamanca;2014;176046
Hombres;Salamanca;2015;167027
Mujeres;Salamanca;2015;174974
Hombres;Salamanca;2016;165197
Mujeres;Salamanca;2016;173356
Hombres;Salamanca;2017;163922
Mujeres;Salamanca;2017;172165
Hombres;Salamanca;2018;162579
Mujeres;Salamanca;2018;171071
